sample,treatment,pressure_mpa,drained_bulk_modulus_gpa,unjacketed_bulk_modulus_gpa,biot_coefficient_reported,biot_coefficient_recomputed,recompute_error,source_sheet,source_row
SP14,14-day serpentinized,3.64,8.2,65.0,0.8738461538461538,0.8738461538461538,0.0,Integrated,32
SP14,14-day serpentinized,8.26,15.1,65.0,0.7676923076923077,0.7676923076923077,0.0,Integrated,33
SP14,14-day serpentinized,10.26,17.5,65.0,0.7307692307692308,0.7307692307692308,0.0,Integrated,34
SP14,14-day serpentinized,12.6,20.1,65.0,0.6907692307692308,0.6907692307692308,0.0,Integrated,35
SP14,14-day serpentinized,14.68,22.0,65.0,0.6615384615384615,0.6615384615384615,0.0,Integrated,36
SP14,14-day serpentinized,17.5,25.5,65.0,0.6076923076923078,0.6076923076923078,0.0,Integrated,37
SP14,14-day serpentinized,19.9,26.7,65.0,0.5892307692307692,0.5892307692307692,0.0,Integrated,38
SP14,14-day serpentinized,23.38,30.1,65.0,0.5369230769230768,0.5369230769230768,0.0,Integrated,39
SP14,14-day serpentinized,26.13,31.1,65.0,0.5215384615384615,0.5215384615384615,0.0,Integrated,40
SP14,14-day serpentinized,28.94,33.7,65.0,0.48153846153846147,0.48153846153846147,0.0,Integrated,41
SP14,14-day serpentinized,32.35,34.1,65.0,0.4753846153846154,0.4753846153846154,0.0,Integrated,42
SP14,14-day serpentinized,35.0,34.4,65.0,0.47076923076923083,0.47076923076923083,0.0,Integrated,43
SP14,14-day serpentinized,36.62,35.4,65.0,0.4553846153846154,0.4553846153846154,0.0,Integrated,44
SP14,14-day serpentinized,37.5,35.2,65.0,0.45846153846153836,0.45846153846153836,0.0,Integrated,45
SP14,14-day serpentinized,40.0,35.1,65.0,0.45999999999999996,0.45999999999999996,0.0,Integrated,46
HT14,14-day dry heat-treated control,2.68,31.7,85.3,0.6283704572098476,0.6283704572098476,0.0,Integrated,32
HT14,14-day dry heat-treated control,5.26,33.1,85.3,0.611957796014068,0.611957796014068,0.0,Integrated,33
HT14,14-day dry heat-treated control,7.43,36.0,85.3,0.577960140679953,0.577960140679953,0.0,Integrated,34
HT14,14-day dry heat-treated control,10.1,37.5,85.3,0.5603751465416178,0.5603751465416178,0.0,Integrated,35
HT14,14-day dry heat-treated control,12.86,39.5,85.3,0.536928487690504,0.536928487690504,0.0,Integrated,36
HT14,14-day dry heat-treated control,15.62,41.3,85.3,0.5158264947245017,0.5158264947245017,0.0,Integrated,37
HT14,14-day dry heat-treated control,17.7,42.0,85.3,0.5076201641266119,0.5076201641266119,0.0,Integrated,38
HT14,14-day dry heat-treated control,20.0,42.9,85.3,0.49706916764361075,0.49706916764361075,0.0,Integrated,39
HT14,14-day dry heat-treated control,22.53,45.0,85.3,0.4724501758499413,0.4724501758499413,0.0,Integrated,40
HT14,14-day dry heat-treated control,23.7,45.0,85.3,0.4724501758499413,0.4724501758499413,0.0,Integrated,41
HT14,14-day dry heat-treated control,27.6,47.2,85.3,0.4466588511137163,0.4466588511137163,0.0,Integrated,42
HT14,14-day dry heat-treated control,30.45,48.0,85.3,0.4372801875732708,0.4372801875732708,0.0,Integrated,43
HT14,14-day dry heat-treated control,32.95,48.6,85.3,0.4302461899179366,0.4302461899179366,0.0,Integrated,44
HT14,14-day dry heat-treated control,35.62,48.2,85.3,0.4349355216881594,0.4349355216881594,0.0,Integrated,45
HT14,14-day dry heat-treated control,37.2,48.3,85.3,0.4337631887456037,0.4337631887456037,0.0,Integrated,46
HT14,14-day dry heat-treated control,38.78,48.5,85.3,0.4314185228604923,0.4314185228604923,0.0,Integrated,47
SP30,30-day serpentinized,3.4,11.2,47.6,0.7647058823529412,0.7647058823529412,0.0,Integrated,32
SP30,30-day serpentinized,8.73,14.8,47.6,0.6890756302521008,0.6890756302521008,0.0,Integrated,34
SP30,30-day serpentinized,10.0,15.0,47.6,0.6848739495798319,0.6848739495798319,0.0,Integrated,35
SP30,30-day serpentinized,11.27,16.8,47.6,0.6470588235294117,0.6470588235294117,0.0,Integrated,36
SP30,30-day serpentinized,15.0,18.2,47.6,0.6176470588235294,0.6176470588235294,0.0,Integrated,37
SP30,30-day serpentinized,17.5,19.1,47.6,0.5987394957983193,0.5987394957983193,0.0,Integrated,38
SP30,30-day serpentinized,20.0,20.5,47.6,0.569327731092437,0.569327731092437,0.0,Integrated,39
SP30,30-day serpentinized,22.5,21.8,47.6,0.5420168067226891,0.5420168067226891,0.0,Integrated,40
SP30,30-day serpentinized,25.0,21.9,47.6,0.5399159663865547,0.5399159663865547,0.0,Integrated,41
SP30,30-day serpentinized,27.5,22.2,47.6,0.5336134453781514,0.5336134453781514,0.0,Integrated,42
SP30,30-day serpentinized,30.0,23.0,47.6,0.5168067226890756,0.5168067226890756,0.0,Integrated,43
SP30,30-day serpentinized,32.5,23.2,47.6,0.5126050420168067,0.5126050420168067,0.0,Integrated,44
SP30,30-day serpentinized,35.0,23.3,47.6,0.5105042016806722,0.5105042016806722,0.0,Integrated,45
SP30,30-day serpentinized,37.5,23.5,47.6,0.5063025210084033,0.5063025210084033,0.0,Integrated,46
SP30,30-day serpentinized,40.0,23.4,47.6,0.5084033613445378,0.5084033613445378,0.0,Integrated,47
